Input Command: hello | Skill Found: date | Confidence: 0.800000
Input Command: how are you? | Skill Found: date | Confidence: 0.800000
Input Command: what time is it? | Skill Found: time | Confidence: 0.900000
Input Command: hey there | Skill Found: date | Confidence: 0.800000
Input Command: what's the date? | Skill Found: date | Confidence: 0.800000
Input Command: hey there | Skill Found: goodbye | Confidence: 0.540000
Input Command: hello | Skill Found: goodbye | Confidence: 0.540000
Input Command: hey ther | Skill Found: goodbye | Confidence: 0.540000
Input Command: hi | Skill Found: goodbye | Confidence: 0.540000
Input Command: what's the weather | Skill Found: weather | Confidence: 0.764524
Input Command: what's the temp? | Skill Found: weather | Confidence: 0.764524
Input Command: What time is it? | Skill Found: time | Confidence: 1.000000
Input Command: what's the date | Skill Found: weather | Confidence: 0.764524
Input Command: what day is it today | Skill Found: date | Confidence: 0.696667
Input Command: are there any news updates? | Skill Found: goodbye | Confidence: 0.540000
Input Command: hey there | Skill Found: goodbye | Confidence: 0.547381
Input Command: are there any news updates? | Skill Found: news | Confidence: 0.900000
Input Command: are there any news updates? | Skill Found: news | Confidence: 0.900000
Input Command: list my github repos | Skill Found: github_connect | Confidence: 1.000000
Input Command: github repos | Skill Found: github_connect | Confidence: 1.000000
Input Command: github repos | Skill Found: github_connect | Confidence: 1.000000
Input Command: what notifications do I have from github | Skill Found: github_connect | Confidence: 1.000000
Input Command: hi | Skill Found: goodbye | Confidence: 0.612500
Input Command: what's up | Skill Found: hello | Confidence: 0.625000
Input Command: what time is it | Skill Found: time | Confidence: 0.900000
Input Command: what's the date | Skill Found: weather | Confidence: 0.621587
Input Command: what's the weather | Skill Found: weather | Confidence: 0.621587
Input Command: what day is it | Skill Found: date | Confidence: 0.700000
Input Command: are there anasdk | Skill Found: goodbye | Confidence: 0.612500
Input Command: are there any news updates | Skill Found: news | Confidence: 0.800000
Input Command: are there any news updates? | Skill Found: news | Confidence: 0.800000
Input Command: cna you list my github repos? | Skill Found: github_connect | Confidence: 1.000000
Input Command: thanks! | Skill Found: goodbye | Confidence: 0.612500
Input Command: what da | Skill Found: hello | Confidence: 0.625000
Input Command: what day is it? | Skill Found: date | Confidence: 0.700000
Input Command: what's the weather? | Skill Found: weather | Confidence: 0.621587
Input Command: how are you have me on can form news on see ya i'd hi list you what currently how are what me the the how | Skill Found: news | Confidence: 1.000000
Input Command: hello are you it | Skill Found: hello | Confidence: 0.550000
Input Command: are you | Skill Found: hello | Confidence: 0.537500
Input Command: what's are | Skill Found: hello | Confidence: 0.625000
Input Command:  | Skill Found: goodbye | Confidence: 0.612500
Input Command: any jokes | Skill Found: goodbye | Confidence: 0.612500
Input Command: any jokes | Skill Found: goodbye | Confidence: 0.438011
Input Command: what's the weather | Skill Found: weather | Confidence: 0.680079
Input Command: me is you any fun facts funny | Skill Found: date | Confidence: 0.400000
Input Command:  | Skill Found: goodbye | Confidence: 0.438011
Input Command: what time is it | Skill Found: time | Confidence: 1.000000
Input Command: what's the day | Skill Found: weather | Confidence: 0.680079
Input Command:  | Skill Found: goodbye | Confidence: 0.438011
Input Command: any news updates | Skill Found: news | Confidence: 1.000000
Input Command: what time is there | Skill Found: date | Confidence: 0.600000
Input Command:  | Skill Found: goodbye | Confidence: 0.438011
Input Command: do you know any jokes | Skill Found: jokes | Confidence: 0.533333
Input Command: you know any jokes | Skill Found: jokes | Confidence: 0.533333
Input Command: what weather a joke | Skill Found: hello | Confidence: 0.500000
Input Command: what's the weather | Skill Found: weather | Confidence: 0.680079
Input Command:  | Skill Found: goodbye | Confidence: 0.438011
Input Command: what's are | Skill Found: hello | Confidence: 0.500000
Input Command: what's any news updates | Skill Found: news | Confidence: 0.900000
Input Command: hello | Skill Found: goodbye | Confidence: 0.438011
Input Command: what for | Skill Found: hello | Confidence: 0.500000
Input Command: what | Skill Found: hello | Confidence: 0.500000
Input Command:  | Skill Found: goodbye | Confidence: 0.438011
Input Command: what's are | Skill Found: hello | Confidence: 0.500000
Input Command: are there any news updates | Skill Found: news | Confidence: 1.000000
Input Command: hello | Skill Found: goodbye | Confidence: 0.438011
Input Command: read the | Skill Found: weather | Confidence: 0.597222
Input Command: what time is it | Skill Found: time | Confidence: 1.000000
Input Command:  | Skill Found: goodbye | Confidence: 0.438011
Input Command: tell me a joke | Skill Found: jokes | Confidence: 0.626429
Input Command: is on joke | Skill Found: date | Confidence: 0.300000
